nb_data_points nb_test_data_points input_dim teacher_size student_size output_dim init_range batch_size nb_AH_layer2 nb_AH_layer1 nb_epochs learning_rate feedback_scale nb_init nonlinearity modification_type initialization_type
100 100 100 10 10 1 2 10 1 0 1e5 0.1 1 40 relu col uniform
140 100 100 10 10 1 2 10 1 0 1e5 0.1 1 40 relu col uniform
180 100 100 10 10 1 2 10 1 0 1e5 0.1 1 40 relu col uniform
220 100 100 10 10 1 2 10 1 0 1e5 0.1 1 40 relu col uniform
260 100 100 10 10 1 2 10 1 0 1e5 0.1 1 40 relu col uniform
300 100 100 10 10 1 2 10 1 0 1e5 0.1 1 40 relu col uniform
340 100 100 10 10 1 2 10 1 0 1e5 0.1 1 40 relu col uniform
380 100 100 10 10 1 2 10 1 0 1e5 0.1 1 40 relu col uniform
420 100 100 10 10 1 2 10 1 0 1e5 0.1 1 40 relu col uniform
440 100 100 10 10 1 2 10 1 0 1e5 0.1 1 40 relu col uniform
500 100 100 10 10 1 2 10 1 0 1e5 0.1 1 40 relu col uniform
600 100 100 10 10 1 2 10 1 0 1e5 0.1 1 40 relu col uniform
800 100 100 10 10 1 2 10 1 0 1e5 0.1 1 40 relu col uniform
1000 100 100 10 10 1 2 10 1 0 1e5 0.1 1 40 relu col uniform
1200 100 100 10 10 1 2 10 1 0 1e5 0.1 1 40 relu col uniform
1400 100 100 10 10 1 2 10 1 0 1e5 0.1 1 40 relu col uniform
1600 100 100 10 10 1 2 10 1 0 1e5 0.1 1 40 relu col uniform
1800 100 100 10 10 1 2 10 1 0 1e5 0.1 1 40 relu col uniform
2000 100 100 10 10 1 2 10 1 0 1e5 0.1 1 40 relu col uniform
