nb_data_points nb_test_data_points input_dim teacher_size student_size output_dim init_range batch_size nb_AH_layer2 nb_AH_layer1 nb_epochs learning_rate feedback_scale nb_init nonlinearity modification_type initialization_type
250 100 20 199 199 1 1 10 0 0 20000 0.1 1 10 lin col uniform
250 100 20 199 199 1 1 10 0 1 20000 0.1 1 10 lin col uniform
250 100 20 199 199 1 1 10 0 2 20000 0.1 1 10 lin col uniform
250 100 20 199 199 1 1 10 0 3 20000 0.1 1 10 lin col uniform
250 100 20 199 199 1 1 10 0 4 20000 0.1 1 10 lin col uniform
250 100 20 199 199 1 1 10 0 5 20000 0.1 1 10 lin col uniform
250 100 20 199 199 1 1 10 0 6 20000 0.1 1 10 lin col uniform
250 100 20 199 199 1 1 10 0 7 20000 0.1 1 10 lin col uniform
250 100 20 199 199 1 1 10 0 8 20000 0.1 1 10 lin col uniform
250 100 20 199 199 1 1 10 0 9 20000 0.1 1 10 lin col uniform
250 100 20 199 199 1 1 10 0 10 20000 0.1 1 10 lin col uniform
250 100 20 199 199 1 1 10 0 11 20000 0.1 1 10 lin col uniform
250 100 20 199 199 1 1 10 0 12 20000 0.1 1 10 lin col uniform
250 100 20 199 199 1 1 10 0 13 20000 0.1 1 10 lin col uniform
250 100 20 199 199 1 1 10 0 14 20000 0.1 1 10 lin col uniform
250 100 20 199 199 1 1 10 0 15 20000 0.1 1 10 lin col uniform
250 100 20 199 199 1 1 10 0 16 20000 0.1 1 10 lin col uniform
250 100 20 199 199 1 1 10 0 17 20000 0.1 1 10 lin col uniform
250 100 20 199 199 1 1 10 0 18 20000 0.1 1 10 lin col uniform
250 100 20 199 199 1 1 10 0 19 20000 0.1 1 10 lin col uniform
250 100 20 199 199 1 1 10 0 20 20000 0.1 1 10 lin col uniform
250 100 25 194 194 1 1 10 0 0 20000 0.1 1 10 lin col uniform
250 100 25 194 194 1 1 10 0 1 20000 0.1 1 10 lin col uniform
250 100 25 194 194 1 1 10 0 2 20000 0.1 1 10 lin col uniform
250 100 25 194 194 1 1 10 0 3 20000 0.1 1 10 lin col uniform
250 100 25 194 194 1 1 10 0 5 20000 0.1 1 10 lin col uniform
250 100 25 194 194 1 1 10 0 6 20000 0.1 1 10 lin col uniform
250 100 25 194 194 1 1 10 0 7 20000 0.1 1 10 lin col uniform
250 100 25 194 194 1 1 10 0 8 20000 0.1 1 10 lin col uniform
250 100 25 194 194 1 1 10 0 10 20000 0.1 1 10 lin col uniform
250 100 25 194 194 1 1 10 0 11 20000 0.1 1 10 lin col uniform
250 100 25 194 194 1 1 10 0 12 20000 0.1 1 10 lin col uniform
250 100 25 194 194 1 1 10 0 13 20000 0.1 1 10 lin col uniform
250 100 25 194 194 1 1 10 0 15 20000 0.1 1 10 lin col uniform
250 100 25 194 194 1 1 10 0 16 20000 0.1 1 10 lin col uniform
250 100 25 194 194 1 1 10 0 17 20000 0.1 1 10 lin col uniform
250 100 25 194 194 1 1 10 0 18 20000 0.1 1 10 lin col uniform
250 100 25 194 194 1 1 10 0 20 20000 0.1 1 10 lin col uniform
250 100 25 194 194 1 1 10 0 21 20000 0.1 1 10 lin col uniform
250 100 25 194 194 1 1 10 0 22 20000 0.1 1 10 lin col uniform
250 100 25 194 194 1 1 10 0 23 20000 0.1 1 10 lin col uniform
250 100 25 194 194 1 1 10 0 25 20000 0.1 1 10 lin col uniform
250 100 30 189 189 1 1 10 0 0 20000 0.1 1 10 lin col uniform
250 100 30 189 189 1 1 10 0 1 20000 0.1 1 10 lin col uniform
250 100 30 189 189 1 1 10 0 3 20000 0.1 1 10 lin col uniform
250 100 30 189 189 1 1 10 0 4 20000 0.1 1 10 lin col uniform
250 100 30 189 189 1 1 10 0 6 20000 0.1 1 10 lin col uniform
250 100 30 189 189 1 1 10 0 7 20000 0.1 1 10 lin col uniform
250 100 30 189 189 1 1 10 0 9 20000 0.1 1 10 lin col uniform
250 100 30 189 189 1 1 10 0 10 20000 0.1 1 10 lin col uniform
250 100 30 189 189 1 1 10 0 12 20000 0.1 1 10 lin col uniform
250 100 30 189 189 1 1 10 0 13 20000 0.1 1 10 lin col uniform
250 100 30 189 189 1 1 10 0 15 20000 0.1 1 10 lin col uniform
250 100 30 189 189 1 1 10 0 16 20000 0.1 1 10 lin col uniform
250 100 30 189 189 1 1 10 0 18 20000 0.1 1 10 lin col uniform
250 100 30 189 189 1 1 10 0 19 20000 0.1 1 10 lin col uniform
250 100 30 189 189 1 1 10 0 21 20000 0.1 1 10 lin col uniform
250 100 30 189 189 1 1 10 0 22 20000 0.1 1 10 lin col uniform
250 100 30 189 189 1 1 10 0 24 20000 0.1 1 10 lin col uniform
250 100 30 189 189 1 1 10 0 25 20000 0.1 1 10 lin col uniform
250 100 30 189 189 1 1 10 0 27 20000 0.1 1 10 lin col uniform
250 100 30 189 189 1 1 10 0 28 20000 0.1 1 10 lin col uniform
250 100 30 189 189 1 1 10 0 30 20000 0.1 1 10 lin col uniform
250 100 35 184 184 1 1 10 0 0 20000 0.1 1 10 lin col uniform
250 100 35 184 184 1 1 10 0 1 20000 0.1 1 10 lin col uniform
250 100 35 184 184 1 1 10 0 3 20000 0.1 1 10 lin col uniform
250 100 35 184 184 1 1 10 0 5 20000 0.1 1 10 lin col uniform
250 100 35 184 184 1 1 10 0 7 20000 0.1 1 10 lin col uniform
250 100 35 184 184 1 1 10 0 8 20000 0.1 1 10 lin col uniform
250 100 35 184 184 1 1 10 0 10 20000 0.1 1 10 lin col uniform
250 100 35 184 184 1 1 10 0 12 20000 0.1 1 10 lin col uniform
250 100 35 184 184 1 1 10 0 14 20000 0.1 1 10 lin col uniform
250 100 35 184 184 1 1 10 0 15 20000 0.1 1 10 lin col uniform
250 100 35 184 184 1 1 10 0 17 20000 0.1 1 10 lin col uniform
250 100 35 184 184 1 1 10 0 19 20000 0.1 1 10 lin col uniform
250 100 35 184 184 1 1 10 0 21 20000 0.1 1 10 lin col uniform
250 100 35 184 184 1 1 10 0 22 20000 0.1 1 10 lin col uniform
