nb_data_points nb_test_data_points input_dim teacher_size student_size output_dim init_range batch_size nb_AH_layer2 nb_AH_layer1 nb_epochs learning_rate feedback_scale nb_init nonlinearity modification_type initialization_type
250 100 2 217 217 1 1 250 0 0 100000 0.1 1 20 lin col uniform
250 100 2 217 217 1 1 250 10 0 100000 0.1 1 20 lin col uniform
250 100 2 217 217 1 1 250 21 0 100000 0.1 1 20 lin col uniform
250 100 2 217 217 1 1 250 32 0 100000 0.1 1 20 lin col uniform
250 100 2 217 217 1 1 250 43 0 100000 0.1 1 20 lin col uniform
250 100 2 217 217 1 1 250 54 0 100000 0.1 1 20 lin col uniform
250 100 2 217 217 1 1 250 65 0 100000 0.1 1 20 lin col uniform
250 100 2 217 217 1 1 250 75 0 100000 0.1 1 20 lin col uniform
250 100 2 217 217 1 1 250 86 0 100000 0.1 1 20 lin col uniform
250 100 2 217 217 1 1 250 97 0 100000 0.1 1 20 lin col uniform
250 100 2 217 217 1 1 250 108 0 100000 0.1 1 20 lin col uniform
250 100 2 217 217 1 1 250 119 0 100000 0.1 1 20 lin col uniform
250 100 2 217 217 1 1 250 130 0 100000 0.1 1 20 lin col uniform
250 100 2 217 217 1 1 250 141 0 100000 0.1 1 20 lin col uniform
250 100 2 217 217 1 1 250 151 0 100000 0.1 1 20 lin col uniform
250 100 2 217 217 1 1 250 162 0 100000 0.1 1 20 lin col uniform
250 100 2 217 217 1 1 250 173 0 100000 0.1 1 20 lin col uniform
250 100 2 217 217 1 1 250 184 0 100000 0.1 1 20 lin col uniform
250 100 2 217 217 1 1 250 195 0 100000 0.1 1 20 lin col uniform
250 100 2 217 217 1 1 250 206 0 100000 0.1 1 20 lin col uniform
250 100 2 217 217 1 1 250 217 0 100000 0.1 1 20 lin col uniform
250 100 3 216 216 1 1 250 0 0 100000 0.1 1 20 lin col uniform
250 100 3 216 216 1 1 250 10 0 100000 0.1 1 20 lin col uniform
250 100 3 216 216 1 1 250 21 0 100000 0.1 1 20 lin col uniform
250 100 3 216 216 1 1 250 32 0 100000 0.1 1 20 lin col uniform
250 100 3 216 216 1 1 250 43 0 100000 0.1 1 20 lin col uniform
250 100 3 216 216 1 1 250 54 0 100000 0.1 1 20 lin col uniform
250 100 3 216 216 1 1 250 64 0 100000 0.1 1 20 lin col uniform
250 100 3 216 216 1 1 250 75 0 100000 0.1 1 20 lin col uniform
250 100 3 216 216 1 1 250 86 0 100000 0.1 1 20 lin col uniform
250 100 3 216 216 1 1 250 97 0 100000 0.1 1 20 lin col uniform
250 100 3 216 216 1 1 250 108 0 100000 0.1 1 20 lin col uniform
250 100 3 216 216 1 1 250 118 0 100000 0.1 1 20 lin col uniform
250 100 3 216 216 1 1 250 129 0 100000 0.1 1 20 lin col uniform
250 100 3 216 216 1 1 250 140 0 100000 0.1 1 20 lin col uniform
250 100 3 216 216 1 1 250 151 0 100000 0.1 1 20 lin col uniform
250 100 3 216 216 1 1 250 162 0 100000 0.1 1 20 lin col uniform
250 100 3 216 216 1 1 250 172 0 100000 0.1 1 20 lin col uniform
250 100 3 216 216 1 1 250 183 0 100000 0.1 1 20 lin col uniform
250 100 3 216 216 1 1 250 194 0 100000 0.1 1 20 lin col uniform
250 100 3 216 216 1 1 250 205 0 100000 0.1 1 20 lin col uniform
250 100 3 216 216 1 1 250 216 0 100000 0.1 1 20 lin col uniform
