nb_data_points nb_test_data_points input_dim teacher_size student_size output_dim init_range batch_size nb_AH_layer2 nb_AH_layer1 nb_epochs learning_rate feedback_scale nb_init nonlinearity modification_type initialization_type
150 100 100 10 10 1 0.01 10 1 0 1e5 0.1 1 10 lin col uniform
150 100 100 10 10 1 0.1 10 1 0 1e5 0.1 1 10 lin col uniform
150 100 100 10 10 1 0.2 10 1 0 1e5 0.1 1 10 lin col uniform
150 100 100 10 10 1 0.3 10 1 0 1e5 0.1 1 10 lin col uniform
150 100 100 10 10 1 0.5 10 1 0 1e5 0.1 1 10 lin col uniform
150 100 100 10 10 1 0.7 10 1 0 1e5 0.1 1 10 lin col uniform
150 100 100 10 10 1 1 10 1 0 1e5 0.1 1 10 lin col uniform
150 100 100 10 10 1 1.5 10 1 0 1e5 0.1 1 10 lin col uniform
150 100 100 10 10 1 2 10 1 0 1e5 0.1 1 10 lin col uniform
150 100 100 10 10 1 3 10 1 0 1e5 0.1 1 10 lin col uniform
150 100 100 10 10 1 4 10 1 0 1e5 0.1 1 10 lin col uniform
150 100 100 10 10 1 5 10 1 0 1e5 0.1 1 10 lin col uniform
150 100 100 10 10 1 6 10 1 0 1e5 0.1 1 10 lin col uniform
150 100 100 10 10 1 7 10 1 0 1e5 0.1 1 10 lin col uniform
150 100 100 10 10 1 8 10 1 0 1e5 0.1 1 10 lin col uniform
150 100 100 10 10 1 9 10 1 0 1e5 0.1 1 10 lin col uniform
150 100 100 10 10 1 10 10 1 0 1e5 0.1 1 10 lin col uniform
10000 100 100 10 10 1 0.01 10 1 0 1e5 0.1 1 10 tanh col uniform
10000 100 100 10 10 1 0.1 10 1 0 1e5 0.1 1 10 tanh col uniform
10000 100 100 10 10 1 0.2 10 1 0 1e5 0.1 1 10 tanh col uniform
10000 100 100 10 10 1 0.3 10 1 0 1e5 0.1 1 10 tanh col uniform
10000 100 100 10 10 1 0.5 10 1 0 1e5 0.1 1 10 tanh col uniform
10000 100 100 10 10 1 0.7 10 1 0 1e5 0.1 1 10 tanh col uniform
10000 100 100 10 10 1 1 10 1 0 1e5 0.1 1 10 tanh col uniform
10000 100 100 10 10 1 1.5 10 1 0 1e5 0.1 1 10 tanh col uniform
10000 100 100 10 10 1 2 10 1 0 1e5 0.1 1 10 tanh col uniform
10000 100 100 10 10 1 3 10 1 0 1e5 0.1 1 10 tanh col uniform
10000 100 100 10 10 1 4 10 1 0 1e5 0.1 1 10 tanh col uniform
10000 100 100 10 10 1 5 10 1 0 1e5 0.1 1 10 tanh col uniform
10000 100 100 10 10 1 6 10 1 0 1e5 0.1 1 10 tanh col uniform
10000 100 100 10 10 1 7 10 1 0 1e5 0.1 1 10 tanh col uniform
10000 100 100 10 10 1 8 10 1 0 1e5 0.1 1 10 tanh col uniform
10000 100 100 10 10 1 9 10 1 0 1e5 0.1 1 10 tanh col uniform
10000 100 100 10 10 1 10 10 1 0 1e5 0.1 1 10 tanh col uniform
