nb_data_points nb_test_data_points input_dim teacher_size student_size output_dim init_range batch_size nb_AH_layer2 nb_AH_layer1 nb_epochs learning_rate feedback_scale nb_init nonlinearity modification_type initialization_type teacher_init_range
10000 100 100 10 10 1 2 10 1 0 2e5 0.1 1 10 tanh col uniform 0.1
10000 100 100 10 10 1 2 10 1 0 2e5 0.1 1 10 tanh col uniform 0.25
10000 100 100 10 10 1 2 10 1 0 2e5 0.1 1 10 tanh col uniform 0.5
10000 100 100 10 10 1 2 10 1 0 2e5 0.1 1 10 tanh col uniform 0.75
10000 100 100 10 10 1 2 10 1 0 2e5 0.1 1 10 tanh col uniform 1
10000 100 100 10 10 1 2 10 1 0 2e5 0.1 1 10 tanh col uniform 1.25
10000 100 100 10 10 1 2 10 1 0 2e5 0.1 1 10 tanh col uniform 1.5
10000 100 100 10 10 1 2 10 1 0 2e5 0.1 1 10 tanh col uniform 1.75
10000 100 100 10 10 1 2 10 1 0 2e5 0.1 1 10 tanh col uniform 2
10000 100 100 10 10 1 2 10 1 0 2e5 0.1 1 10 tanh col uniform 2.25
10000 100 100 10 10 1 2 10 1 0 2e5 0.1 1 10 tanh col uniform 2.5
10000 100 100 10 10 1 2 10 1 0 2e5 0.1 1 10 tanh col uniform 2.75
10000 100 100 10 10 1 2 10 1 0 2e5 0.1 1 10 tanh col uniform 3
10000 100 100 10 10 1 2 10 1 0 2e5 0.1 1 10 tanh col uniform 3.25
10000 100 100 10 10 1 2 10 1 0 2e5 0.1 1 10 tanh col uniform 3.5
10000 100 100 10 10 1 2 10 1 0 2e5 0.1 1 10 tanh col uniform 3.75
10000 100 100 10 10 1 2 10 1 0 2e5 0.1 1 10 tanh col uniform 4
