nb_data_points nb_test_data_points input_dim teacher_size student_size output_dim init_range batch_size nb_AH_layer2 nb_AH_layer1 nb_epochs learning_rate feedback_scale nb_init nonlinearity modification_type initialization_type
250 100 20 199 199 1 1 10 0 0 100000 0.1 1 10 tanh col uniform
250 100 20 199 199 1 1 10 0 1 100000 0.1 1 10 tanh col uniform
250 100 20 199 199 1 1 10 0 2 100000 0.1 1 10 tanh col uniform
250 100 20 199 199 1 1 10 0 3 100000 0.1 1 10 tanh col uniform
250 100 20 199 199 1 1 10 0 4 100000 0.1 1 10 tanh col uniform
250 100 20 199 199 1 1 10 0 5 100000 0.1 1 10 tanh col uniform
250 100 20 199 199 1 1 10 0 6 100000 0.1 1 10 tanh col uniform
250 100 20 199 199 1 1 10 0 7 100000 0.1 1 10 tanh col uniform
250 100 20 199 199 1 1 10 0 8 100000 0.1 1 10 tanh col uniform
250 100 20 199 199 1 1 10 0 9 100000 0.1 1 10 tanh col uniform
250 100 20 199 199 1 1 10 0 10 100000 0.1 1 10 tanh col uniform
250 100 20 199 199 1 1 10 0 11 100000 0.1 1 10 tanh col uniform
250 100 20 199 199 1 1 10 0 12 100000 0.1 1 10 tanh col uniform
250 100 20 199 199 1 1 10 0 13 100000 0.1 1 10 tanh col uniform
250 100 20 199 199 1 1 10 0 14 100000 0.1 1 10 tanh col uniform
250 100 20 199 199 1 1 10 0 15 100000 0.1 1 10 tanh col uniform
250 100 20 199 199 1 1 10 0 16 100000 0.1 1 10 tanh col uniform
250 100 20 199 199 1 1 10 0 17 100000 0.1 1 10 tanh col uniform
250 100 20 199 199 1 1 10 0 18 100000 0.1 1 10 tanh col uniform
250 100 20 199 199 1 1 10 0 19 100000 0.1 1 10 tanh col uniform
250 100 20 199 199 1 1 10 0 20 100000 0.1 1 10 tanh col uniform
250 100 25 194 194 1 1 10 0 0 100000 0.1 1 10 tanh col uniform
250 100 25 194 194 1 1 10 0 1 100000 0.1 1 10 tanh col uniform
250 100 25 194 194 1 1 10 0 2 100000 0.1 1 10 tanh col uniform
250 100 25 194 194 1 1 10 0 3 100000 0.1 1 10 tanh col uniform
250 100 25 194 194 1 1 10 0 5 100000 0.1 1 10 tanh col uniform
250 100 25 194 194 1 1 10 0 6 100000 0.1 1 10 tanh col uniform
250 100 25 194 194 1 1 10 0 7 100000 0.1 1 10 tanh col uniform
250 100 25 194 194 1 1 10 0 8 100000 0.1 1 10 tanh col uniform
250 100 25 194 194 1 1 10 0 10 100000 0.1 1 10 tanh col uniform
250 100 25 194 194 1 1 10 0 11 100000 0.1 1 10 tanh col uniform
250 100 25 194 194 1 1 10 0 12 100000 0.1 1 10 tanh col uniform
250 100 25 194 194 1 1 10 0 13 100000 0.1 1 10 tanh col uniform
250 100 25 194 194 1 1 10 0 15 100000 0.1 1 10 tanh col uniform
250 100 25 194 194 1 1 10 0 16 100000 0.1 1 10 tanh col uniform
250 100 25 194 194 1 1 10 0 17 100000 0.1 1 10 tanh col uniform
250 100 25 194 194 1 1 10 0 18 100000 0.1 1 10 tanh col uniform
250 100 25 194 194 1 1 10 0 20 100000 0.1 1 10 tanh col uniform
250 100 25 194 194 1 1 10 0 21 100000 0.1 1 10 tanh col uniform
250 100 25 194 194 1 1 10 0 22 100000 0.1 1 10 tanh col uniform
250 100 25 194 194 1 1 10 0 23 100000 0.1 1 10 tanh col uniform
250 100 25 194 194 1 1 10 0 25 100000 0.1 1 10 tanh col uniform
250 100 30 189 189 1 1 10 0 0 100000 0.1 1 10 tanh col uniform
250 100 30 189 189 1 1 10 0 1 100000 0.1 1 10 tanh col uniform
250 100 30 189 189 1 1 10 0 3 100000 0.1 1 10 tanh col uniform
250 100 30 189 189 1 1 10 0 4 100000 0.1 1 10 tanh col uniform
250 100 30 189 189 1 1 10 0 6 100000 0.1 1 10 tanh col uniform
250 100 30 189 189 1 1 10 0 7 100000 0.1 1 10 tanh col uniform
250 100 30 189 189 1 1 10 0 9 100000 0.1 1 10 tanh col uniform
250 100 30 189 189 1 1 10 0 10 100000 0.1 1 10 tanh col uniform
250 100 30 189 189 1 1 10 0 12 100000 0.1 1 10 tanh col uniform
250 100 30 189 189 1 1 10 0 13 100000 0.1 1 10 tanh col uniform
250 100 30 189 189 1 1 10 0 15 100000 0.1 1 10 tanh col uniform
250 100 30 189 189 1 1 10 0 16 100000 0.1 1 10 tanh col uniform
250 100 30 189 189 1 1 10 0 18 100000 0.1 1 10 tanh col uniform
250 100 30 189 189 1 1 10 0 19 100000 0.1 1 10 tanh col uniform
250 100 30 189 189 1 1 10 0 21 100000 0.1 1 10 tanh col uniform
250 100 30 189 189 1 1 10 0 22 100000 0.1 1 10 tanh col uniform
250 100 30 189 189 1 1 10 0 24 100000 0.1 1 10 tanh col uniform
250 100 30 189 189 1 1 10 0 25 100000 0.1 1 10 tanh col uniform
250 100 30 189 189 1 1 10 0 27 100000 0.1 1 10 tanh col uniform
250 100 30 189 189 1 1 10 0 28 100000 0.1 1 10 tanh col uniform
250 100 30 189 189 1 1 10 0 30 100000 0.1 1 10 tanh col uniform
250 100 35 184 184 1 1 10 0 0 100000 0.1 1 10 tanh col uniform
250 100 35 184 184 1 1 10 0 1 100000 0.1 1 10 tanh col uniform
250 100 35 184 184 1 1 10 0 3 100000 0.1 1 10 tanh col uniform
250 100 35 184 184 1 1 10 0 5 100000 0.1 1 10 tanh col uniform
250 100 35 184 184 1 1 10 0 7 100000 0.1 1 10 tanh col uniform
250 100 35 184 184 1 1 10 0 8 100000 0.1 1 10 tanh col uniform
250 100 35 184 184 1 1 10 0 10 100000 0.1 1 10 tanh col uniform
250 100 35 184 184 1 1 10 0 12 100000 0.1 1 10 tanh col uniform
250 100 35 184 184 1 1 10 0 14 100000 0.1 1 10 tanh col uniform
250 100 35 184 184 1 1 10 0 15 100000 0.1 1 10 tanh col uniform
250 100 35 184 184 1 1 10 0 17 100000 0.1 1 10 tanh col uniform
250 100 35 184 184 1 1 10 0 19 100000 0.1 1 10 tanh col uniform
250 100 35 184 184 1 1 10 0 21 100000 0.1 1 10 tanh col uniform
250 100 35 184 184 1 1 10 0 22 100000 0.1 1 10 tanh col uniform
250 100 35 184 184 1 1 10 0 24 100000 0.1 1 10 tanh col uniform
250 100 35 184 184 1 1 10 0 26 100000 0.1 1 10 tanh col uniform
250 100 35 184 184 1 1 10 0 28 100000 0.1 1 10 tanh col uniform
250 100 35 184 184 1 1 10 0 29 100000 0.1 1 10 tanh col uniform
250 100 35 184 184 1 1 10 0 31 100000 0.1 1 10 tanh col uniform
250 100 35 184 184 1 1 10 0 33 100000 0.1 1 10 tanh col uniform
250 100 35 184 184 1 1 10 0 35 100000 0.1 1 10 tanh col uniform
250 100 40 179 179 1 1 10 0 0 100000 0.1 1 10 tanh col uniform
250 100 40 179 179 1 1 10 0 2 100000 0.1 1 10 tanh col uniform
250 100 40 179 179 1 1 10 0 4 100000 0.1 1 10 tanh col uniform
250 100 40 179 179 1 1 10 0 6 100000 0.1 1 10 tanh col uniform
250 100 40 179 179 1 1 10 0 8 100000 0.1 1 10 tanh col uniform
250 100 40 179 179 1 1 10 0 10 100000 0.1 1 10 tanh col uniform
250 100 40 179 179 1 1 10 0 12 100000 0.1 1 10 tanh col uniform
250 100 40 179 179 1 1 10 0 14 100000 0.1 1 10 tanh col uniform
250 100 40 179 179 1 1 10 0 16 100000 0.1 1 10 tanh col uniform
250 100 40 179 179 1 1 10 0 18 100000 0.1 1 10 tanh col uniform
250 100 40 179 179 1 1 10 0 20 100000 0.1 1 10 tanh col uniform
250 100 40 179 179 1 1 10 0 22 100000 0.1 1 10 tanh col uniform
250 100 40 179 179 1 1 10 0 24 100000 0.1 1 10 tanh col uniform
250 100 40 179 179 1 1 10 0 26 100000 0.1 1 10 tanh col uniform
250 100 40 179 179 1 1 10 0 28 100000 0.1 1 10 tanh col uniform
250 100 40 179 179 1 1 10 0 30 100000 0.1 1 10 tanh col uniform
250 100 40 179 179 1 1 10 0 32 100000 0.1 1 10 tanh col uniform
250 100 40 179 179 1 1 10 0 34 100000 0.1 1 10 tanh col uniform
250 100 40 179 179 1 1 10 0 36 100000 0.1 1 10 tanh col uniform
250 100 40 179 179 1 1 10 0 38 100000 0.1 1 10 tanh col uniform
250 100 40 179 179 1 1 10 0 40 100000 0.1 1 10 tanh col uniform
250 100 45 174 174 1 1 10 0 0 100000 0.1 1 10 tanh col uniform
250 100 45 174 174 1 1 10 0 2 100000 0.1 1 10 tanh col uniform
250 100 45 174 174 1 1 10 0 4 100000 0.1 1 10 tanh col uniform
250 100 45 174 174 1 1 10 0 6 100000 0.1 1 10 tanh col uniform
250 100 45 174 174 1 1 10 0 9 100000 0.1 1 10 tanh col uniform
250 100 45 174 174 1 1 10 0 11 100000 0.1 1 10 tanh col uniform
250 100 45 174 174 1 1 10 0 13 100000 0.1 1 10 tanh col uniform
250 100 45 174 174 1 1 10 0 15 100000 0.1 1 10 tanh col uniform
250 100 45 174 174 1 1 10 0 18 100000 0.1 1 10 tanh col uniform
250 100 45 174 174 1 1 10 0 20 100000 0.1 1 10 tanh col uniform
250 100 45 174 174 1 1 10 0 22 100000 0.1 1 10 tanh col uniform
250 100 45 174 174 1 1 10 0 24 100000 0.1 1 10 tanh col uniform
250 100 45 174 174 1 1 10 0 27 100000 0.1 1 10 tanh col uniform
250 100 45 174 174 1 1 10 0 29 100000 0.1 1 10 tanh col uniform
250 100 45 174 174 1 1 10 0 31 100000 0.1 1 10 tanh col uniform
250 100 45 174 174 1 1 10 0 33 100000 0.1 1 10 tanh col uniform
250 100 45 174 174 1 1 10 0 36 100000 0.1 1 10 tanh col uniform
250 100 45 174 174 1 1 10 0 38 100000 0.1 1 10 tanh col uniform
250 100 45 174 174 1 1 10 0 40 100000 0.1 1 10 tanh col uniform
250 100 45 174 174 1 1 10 0 42 100000 0.1 1 10 tanh col uniform
250 100 45 174 174 1 1 10 0 45 100000 0.1 1 10 tanh col uniform
250 100 49 170 170 1 1 10 0 0 100000 0.1 1 10 tanh col uniform
250 100 49 170 170 1 1 10 0 2 100000 0.1 1 10 tanh col uniform
250 100 49 170 170 1 1 10 0 4 100000 0.1 1 10 tanh col uniform
250 100 49 170 170 1 1 10 0 7 100000 0.1 1 10 tanh col uniform
250 100 49 170 170 1 1 10 0 9 100000 0.1 1 10 tanh col uniform
250 100 49 170 170 1 1 10 0 12 100000 0.1 1 10 tanh col uniform
250 100 49 170 170 1 1 10 0 14 100000 0.1 1 10 tanh col uniform
250 100 49 170 170 1 1 10 0 17 100000 0.1 1 10 tanh col uniform
250 100 49 170 170 1 1 10 0 19 100000 0.1 1 10 tanh col uniform
250 100 49 170 170 1 1 10 0 22 100000 0.1 1 10 tanh col uniform
250 100 49 170 170 1 1 10 0 24 100000 0.1 1 10 tanh col uniform
250 100 49 170 170 1 1 10 0 26 100000 0.1 1 10 tanh col uniform
250 100 49 170 170 1 1 10 0 29 100000 0.1 1 10 tanh col uniform
250 100 49 170 170 1 1 10 0 31 100000 0.1 1 10 tanh col uniform
250 100 49 170 170 1 1 10 0 34 100000 0.1 1 10 tanh col uniform
250 100 49 170 170 1 1 10 0 36 100000 0.1 1 10 tanh col uniform
250 100 49 170 170 1 1 10 0 39 100000 0.1 1 10 tanh col uniform
250 100 49 170 170 1 1 10 0 41 100000 0.1 1 10 tanh col uniform
250 100 49 170 170 1 1 10 0 44 100000 0.1 1 10 tanh col uniform
250 100 49 170 170 1 1 10 0 46 100000 0.1 1 10 tanh col uniform
250 100 49 170 170 1 1 10 0 49 100000 0.1 1 10 tanh col uniform
250 100 53 166 166 1 1 10 0 0 100000 0.1 1 10 tanh col uniform
250 100 53 166 166 1 1 10 0 2 100000 0.1 1 10 tanh col uniform
250 100 53 166 166 1 1 10 0 5 100000 0.1 1 10 tanh col uniform
250 100 53 166 166 1 1 10 0 7 100000 0.1 1 10 tanh col uniform
250 100 53 166 166 1 1 10 0 10 100000 0.1 1 10 tanh col uniform
250 100 53 166 166 1 1 10 0 13 100000 0.1 1 10 tanh col uniform
250 100 53 166 166 1 1 10 0 15 100000 0.1 1 10 tanh col uniform
250 100 53 166 166 1 1 10 0 18 100000 0.1 1 10 tanh col uniform
250 100 53 166 166 1 1 10 0 21 100000 0.1 1 10 tanh col uniform
250 100 53 166 166 1 1 10 0 23 100000 0.1 1 10 tanh col uniform
250 100 53 166 166 1 1 10 0 26 100000 0.1 1 10 tanh col uniform
250 100 53 166 166 1 1 10 0 29 100000 0.1 1 10 tanh col uniform
250 100 53 166 166 1 1 10 0 31 100000 0.1 1 10 tanh col uniform
250 100 53 166 166 1 1 10 0 34 100000 0.1 1 10 tanh col uniform
250 100 53 166 166 1 1 10 0 37 100000 0.1 1 10 tanh col uniform
250 100 53 166 166 1 1 10 0 39 100000 0.1 1 10 tanh col uniform
250 100 53 166 166 1 1 10 0 42 100000 0.1 1 10 tanh col uniform
250 100 53 166 166 1 1 10 0 45 100000 0.1 1 10 tanh col uniform
250 100 53 166 166 1 1 10 0 47 100000 0.1 1 10 tanh col uniform
250 100 53 166 166 1 1 10 0 50 100000 0.1 1 10 tanh col uniform
250 100 53 166 166 1 1 10 0 53 100000 0.1 1 10 tanh col uniform
250 100 57 162 162 1 1 10 0 0 100000 0.1 1 10 tanh col uniform
250 100 57 162 162 1 1 10 0 2 100000 0.1 1 10 tanh col uniform
250 100 57 162 162 1 1 10 0 5 100000 0.1 1 10 tanh col uniform
250 100 57 162 162 1 1 10 0 8 100000 0.1 1 10 tanh col uniform
250 100 57 162 162 1 1 10 0 11 100000 0.1 1 10 tanh col uniform
250 100 57 162 162 1 1 10 0 14 100000 0.1 1 10 tanh col uniform
250 100 57 162 162 1 1 10 0 17 100000 0.1 1 10 tanh col uniform
250 100 57 162 162 1 1 10 0 19 100000 0.1 1 10 tanh col uniform
250 100 57 162 162 1 1 10 0 22 100000 0.1 1 10 tanh col uniform
250 100 57 162 162 1 1 10 0 25 100000 0.1 1 10 tanh col uniform
250 100 57 162 162 1 1 10 0 28 100000 0.1 1 10 tanh col uniform
250 100 57 162 162 1 1 10 0 31 100000 0.1 1 10 tanh col uniform
250 100 57 162 162 1 1 10 0 34 100000 0.1 1 10 tanh col uniform
250 100 57 162 162 1 1 10 0 37 100000 0.1 1 10 tanh col uniform
250 100 57 162 162 1 1 10 0 39 100000 0.1 1 10 tanh col uniform
250 100 57 162 162 1 1 10 0 42 100000 0.1 1 10 tanh col uniform
